名称,性味,入药部位,别名,主治,文献,用法,配伍选方,其他信息
鼠李,性平，味甘、微苦。归肝经、肾经。,,牛李、鼠梓、赵李、皂李、山李子、乌巢子、,,,用量果实5~ 15克，可制成酒剂服；外用适量，将果实捣烂敷患处。,"1、治诸疮寒热，毒痹：鼠李生捣敷之。（《圣惠方》）
2、治痘疮倒靥黑陷：牛李子杵汁，石器内密封。每服皂子大，煎杏胶汤化下。（《小儿药证直诀》牛李膏，一名必胜膏）
3、治齿䘌肿痛：牛李煮汁。空腹饮一盏，仍频含漱。（《圣济总录》）","{""品质部位"": ""果实。"", ""药理成分"": ""含大黄素、大黄酚、葸酚；另含山柰酚。种子中有多种黄酮苷"", ""功效作用"": ""止咳、祛痰。属清热药下分类的清热燥湿药。"", ""主治运用"": ""用于治支气管炎、肺气肿、龋齿痛、痈疖。治疗水肿腹胀痛，腹部包块，淋巴结核肿大和疮疡等。"", ""使用禁忌"": ""小毒。"", ""论述"": ""《新修本草》：“能下血及碎肉，除疝瘕积冷气。”""}"
寻骨风,辛；苦；平。归肝，胃经。,,白毛藤、清骨风、猫耳朵。,,"《饮片新参》：散风痹，通络，治骨节痛。
《南京民间药草》：全草浸酒服，治筋骨痛及肚痛。
《江西民间草药》：治疟疾，风湿关节痛。","用量10~15克；或浸酒。
内服：煎汤，10-20克；或浸酒。",,"{""品质部位"": ""果实。"", ""功效作用"": ""治风湿痹痛、肢体麻木、筋骨拘挛、跌打损伤疼痛、胃痛、牙痛、疝痛等。"", ""主治运用"": ""祛风除湿，活血通络；止痛。主风湿痹痛；肢体麻木；筋骨拘挛；脘腹疼痛；跌打伤痛；外伤出血；乳痈及多种化脓性感染、腹痛，疟疾。"", ""使用禁忌"": ""《饮片新参》：阴虚内热者忌用。不宜大量或长期服用，肾病患者忌用。 贮藏置干燥通风处。""}"
天冬,甘、苦，寒。归肺、肾经。,,天门冬,,,用量6～12克，煎汤服。,"①治血虚肺燥，皮肤拆裂及肺痿咳脓血证：天门冬新掘者不拘多少，净洗，去心、皮，细捣，绞取汁用砂锅慢火熬成膏，每用一二匙，空心温酒调服。（《医学正传）天门冬膏）
②治肺胃燥热，痰涩咳嗽：天门冬(去心)、麦门冬(去心)等分。上两味熬膏，炼白蜜收，不时含热咽之。(《张氏医通》二冬膏)
③治肺痿咳嗽，吐涎沫，心中温温．咽燥而不渴者：生天冬捣取汁一升，酒一斗，饴一升，紫菀四合，人铜器于汤上煎至可丸。服如杏子大一丸，日可三服。(《肘后方》)
④治女子白带：天冬捣汁，井水调服。(《普济方》)
⑤催乳：天冬60克。炖肉服。(《云南中草药》)
⑥治心烦：天冬、麦冬各15克，水杨柳9克。水煎服。(《湖南药物志》)
⑦治扁桃体炎，咽喉肿痛：天冬、麦冬、板蓝根、桔梗、山豆根各9克，甘草6克。水煎服。(《山东中草药手册》)","{""品质部位"": ""以块根入药。"", ""功效作用"": ""养阴润燥，清肺生津。"", ""主治运用"": ""用于肺燥干咳，顿咳痰黏，腰膝酸痛，骨蒸潮热，内热消渴，热病津伤，咽干口渴，肠燥便秘。"", ""使用禁忌"": ""虚寒泄泻及风寒咳嗽者禁服。""}"
川木香,性温，味辛、苦。归脾经、胃经、大肠经、胆经。,,木香,,,内服：煎汤，1.5～9克，宜后下；研末，每次0.5～0.9克。,,"{""品质部位"": ""植物的干燥根。"", ""功效作用"": ""行气止痛。"", ""主治运用"": ""胸胁、脘腹胀痛，肠鸣腹泻，里急后重。"", ""使用禁忌"": ""脏腑燥热，气虚、阴虚者禁服。芳香不宜久煎。""}"
木香,性温，味辛、苦。归脾经、胃经、大肠经、三焦经、胆经。,,青木香、南木香、广木香。,,"①《本草纲目》：心腹一切滞气。和胃气，泄肺气，行肝气。凡气郁而不舒者，宜用之。
②《本经》：邪气，辟毒疫温鬼，强志，主淋露。久服不梦寤魇寐。
③《别录》：消毒，杀鬼精物，温疟蛊毒，气劣气不足，肌中偏寒，引药之精。
④《本草求真》：下气宽中，为三焦气分要药。然三焦则又以中为要。中宽则上下皆通，是以号为三焦宣滞要剂。至书所云能升能降，能散能补，非云升类升柴，降同沉重，不过因其气郁不升，得此气克上达耳。况此苦多辛少，言降有余，言升不足，言散则可，言补不及，一不审颐，任书混投，非其事矣。",煎服，3～6g。生用行气力强，煨用实肠止泻，用于泄泻腹痛。,"①《经验方》反胃转食：地龙粪一两，木香三钱，大黄七钱。为末。每服五钱，无根水调服。忌煎爆酒醋椒姜热物。一、二服，其效如神。
②《圣济录》：肾脏气发攻心，面黑欲死，及诸气奔豚喘急。铅二两，石亭脂二两，丁香一两，木香一两，麝香一钱。先化铅炒干，入亭脂急炒，焰起以醋喷之，倾入地坑内覆住，待冷取研，粟饭丸芡子大。每用二丸，热酒化服，取汗或下或通气即愈。如大便不通，再用一丸，入玄明粉五分服。
③《杨仁斋直指方》慢脾惊风，利痰奇效：用开元通宝钱背后上下有两月痕者，其色淡黑，颇小。以一个放铁匙上，炭火烧四围上下，各出珠子，取出候冷，倾入盏中，作一服，以南木香汤送下，或人参汤亦可。钱虽利痰，非胃家所好，须以木香佐之。","{""品质部位"": ""以块根入药。"", ""功效作用"": ""行气止痛，健脾消食。"", ""主治运用"": ""胸胁、脘腹胀痛，泻痢后重，食积不消，不思饮食。煨木香实肠止泻。用于泄泻腹痛"", ""使用禁忌"": ""脏腑燥热，阴虚津液不足者慎服。""}"
土木香,性温，味辛、苦。归肝经、脾经。,,祁木香、藏木香。,,,3～9g，多入丸散服。内服：煎汤，1～3钱；或入丸、散。,"①治胃痛：土木香3克，元胡15克。研末水冲服，每日2次。(《山西中草药》)
②治胸胁胃胀痛不适：土木香、藿香、枳壳、陈皮各9克。水煎服。(《山西中草药》)
③治腹泻肠鸣：土木香、雄黄连各等量。研粉，每次2～3克，开水吞服。(《湖北中草药志》)
④治细菌性痢疾：土木香、黄连各9克。水煎服。(《河北中草药》)
⑤治牙痛：土木香适量。捣烂或嚼烂，含患处或入虫牙孔内。(《湖北中草药志》)
⑥治肋间神经痛：土木香、郁金各9克。水煎服。(《河北中草药》)","{""品质部位"": ""菊科旋覆花属植物土木香的根。"", ""功效作用"": ""健脾和胃、调气解郁、止痛安胎。"", ""主治运用"": ""健脾和胃，行气止痛。治胸腹胀满疼痛，呕吐泄泻，痢疾，疟疾。\n《祁州药志》：健胃，利尿，祛痰，驱虫。\n《科学的民间药草》：内服治气管杖炎，百日咳：外用可作防腐剂。\n《现代实用中药》：治霍乱吐泻，疟疾，结核性下痢，慢性肠炎。\n《河北药材》：散风湿，降恶气，解毒。\n《陕西中药志》：行气化滞，健脾和胃。治胸满腹胀，呕吐泄泻，痢疾等症。\n《东北常用中草药手册》：健胃，行气，止痛，治胃痛，气滞胸腹胀满、疼痛。\n《西藏常用中草药》：健脾和胃，调气解郁，止痛，安胎。治慢性胃炎，胃肠机能紊乱，肋间神经痛，胸壁挫伤和岔气作痛。"", ""使用禁忌"": ""《陕西中药志》：内热口干，喉干舌绛者忌用。""}"
青木香,性寒，味辛、苦。归肺经、胃经、肝经。,,马兜铃根、兜铃根、青藤香。,,《本草求真》:“青木香，诸书皆言可升可降，可吐可利。凡人感受恶毒，而致胸膈不快，则可用此上吐，以其气辛而上达也。感受风湿，而见阴气上逆，则可用此下降，以其苦能泄热也。,外用：适量，研末调敷；或磨汁涂。,"①治肠炎，腹痛下痢：青木香9克，槟榔4.5克，黄连4.5克。共研细末，温开水冲服。(《现代实用中药》)
②治中暑腹痛：青木香根(鲜)9～15克，捣汁，温开水送服;亦用青木香根3～6克，研末，温开水送服。(《江西草药》)
③治牙痛：青木香鲜品一块，放牙痛处咬之。(《东北常用中草药手册》)
④治妇人小便出血不止：青木香根、刺蓟根各30克。捣细罗为散。每服食前，当归酒调下6克。(《圣惠方》)
⑤治腋气：青木香做厚片，好醋浸一宿，夹腋下数次，即愈。(《卫生易简方》)
⑥洽蛇咬及粪毒:青木香、雄黄。共研末。调酒擦局部。(《四川中药志》)
⑦治指疔:鲜青木香，切碎，同适量的蜂蜜捣烂，敷于患处。(《江西民间草药验方》)
⑧治皮肤湿烂疮:青木香，研成细末，用麻油调搽。(《江西民间草药验方》)
⑨洽蜘蛛疮(单纯疱疹):土青木香，研极细末，柿漆(即柿油)调涂。(《中医药实验研究》)","{""品质部位"": ""马兜铃科植物马兜铃的根。"", ""功效作用"": ""行气止痛，解毒消肿，平肝降压"", ""主治运用"": ""胸胁脘腹疼痛，疝气痛，肠炎，下痢腹痛，咳嗽痰喘，蛇虫咬伤，痈肿疔疮，湿疹，皮肤瘙痒，高血压病。"", ""使用禁忌"": ""我国自2003年以来，禁止口服使用马兜铃酸含量高的关木通、广防己和青木香（青藤香）。\n①《唐本草》:“味辛苦，冷，有毒。\n②《日华子本草》:“无脾胃虚寒者慎服。""}"
天麻,味甘，性平；归肝经。,,赤箭、鬼督邮、神草、定风草、水洋芋,,"①《用药法象》：“疗大人风热头痛；小儿风痫惊悸；诸风麻痹不仁；风热语言不遂。”
②《本草汇言》：“主头风，头痛，头晕虚旋，癫痫强痉，四肢挛急，语言不顺，一切中风，风痰。",内服煎汤，3-10g；或入丸、散。,"①治肝阳偏亢，肝风上扰，头痛眩晕，失眠：天麻9克，钩藤(后下)、川牛膝各12克，石决明(先煎)18克，山栀、黄芩、杜仲、益母草、桑寄生、夜交藤、茯神各9克。水煎服。(《杂病证治新义》天麻钩藤饮)
②治高血压：天麻5克，杜仲、野菊花各10克，川芎9克；水煎服。(《秦岭巴山天然药物志》)
③治偏正头痛，首风攻注，眼目肿疼昏暗，头目旋运，起坐不能：天麻45克，附子(炮制，去皮、脐)30克，半夏(汤洗七遍)30克，荆芥穗15克，木香 15克，桂枝(去粗皮)0.3克，川芎15克。上之珠，捣罗为末，入乳香匀和，滴水为丸，如梧桐子大。每服五丸。渐加至十丸。茶清下，日三。(《圣济总 录》天麻丸)
④治风湿麻木瘫痪：天麻、扭子七各30克，羌活、独活各5克。白酒(40度)500毫米，浸泡7天。早晚适量服用。(《秦岭巴山天然药物志》)
⑤治腰脚疼痛：天麻、细辛、半夏各60克。上用绢袋二个，各盛药90克，煮熟。交互熨痛处，汗出则愈。(《世传神效名方》)","{""类别"": ""息风止痉药"", ""品质部位"": ""兰科植物天麻的块茎。药材以质地坚实，体重，有鹦哥嘴，无空心者为佳。饮片以体实泽亮半透明者为佳。"", ""功效作用"": ""平肝息风止痉。"", ""药理研究"": ""动物试验证明，天麻浸膏及水煎液有镇静、镇痛、抗惊厥作用；天麻多糖有增强实验动物机体非特异性免疫及细胞免疫和抗炎作用。另有延缓衰老，抑制血小板聚集，保护心肌细胞等作用。"", ""主治运用"": ""头痛眩晕、肢体麻木、小儿惊风、癫痫抽搐、破伤风。\n①肝风内动，惊痫抽搐：本品主入肝经，功能息风止痉，且味甘质润，药性平和。故可用治各种病因之肝风内动，惊痫抽搐，不论寒热虚实，皆可配伍应用。\n②眩晕，头痛：本品既息肝风，又平肝阳，为治眩晕、头痛之要药。不论虚证、实证，随不同配伍皆可应用。\n③肢体麻木，手足不遂，风湿痹痛：本品又能祛外风，通经络，止痛。用治中风手足不遂，筋骨疼痛；妇人风痹，手足不遂；风湿痹痛，关节屈伸不利等。"", ""使用禁忌"": ""①《雷公炮炙论》：使御风草根，勿使天麻，二件若同用，即令人有肠结之患。\n②气血虚甚者慎服。""}"
山楂,温，酸、甘。归脾经、胃经、肝经。,,山里红果、鼠楂、粱梅、北山楂。,,,用量6～12克，煎汤内服；或入丸、散。外用：适量，煎水洗或捣敷。,"①治一切食积：山楂四两，白术四两，神曲二两。上为末，蒸饼丸，梧于大，服七十丸，白汤下。（《丹溪心法》）
②治食肉不消：山楂肉四两，水煮食之，并饮其汁。（《简便单方》）
③治诸滞腹痛：山楂一味煎汤饮。（《方脉正宗》）
④治痢疾赤白相兼：山楂肉不拘多少，炒研为末，每服一、二钱，红痢蜜拌，白痢红白糖拌，红白相兼，蜜砂糖各半拌匀，白汤调，空心下。（《医钞类编》）
⑤治肠风：酸枣并肉核烧灰，米饮调下。（《百一选方》）
⑥治老人腰痛及腿痛：棠梂子、鹿茸（炙）等分。为末，蜜丸梧子大，每服百丸，日二服。（《纲目》）
⑦治寒湿气小腹疼，外肾偏大肿痛：茴香、柿楂子。上等分为细末，每服一钱或二钱，盐、酒调，空心热服。（《百一选方》）
⑧治产妇恶露不尽，腹中疼痛，或儿枕作痛：山楂百十个，打碎煎汤，入砂糖少许，空心温服。（朱震亨）","{""类别"": ""消食药"", ""品质部位"": ""以果大、肉厚、核少、皮红者为佳。"", ""功效作用"": ""消食健脾、行气消瘀。"", ""主治运用"": ""消食积，散瘀血，驱绦虫。治肉积，症瘕，痰饮，痞满，吞酸，泻痢，肠风，腰痛，疝气产后儿枕痛，恶露不尽，小儿乳食停滞。消食健胃，行气散瘀。用于肉食积滞、胃烷胀满、泻痢腹痛、瘀血经闭、产后瘀阻、心腹刺痛、疝气疼痛、高血脂症。"", ""使用禁忌"": ""脾胃虚弱者慎服。""}"
商陆,苦，寒，有毒。归肺经、脾经、肾经、大肠经。,,章柳、山萝卜、见肿消、倒水莲、金七娘、猪母耳。,,,外用适量，鲜品捣烂或干品研末涂敷患处，用治痈肿疮毒。,"①治跌打：商陆研末，调热酒擂跌打青黑之处，再贴膏药更好。(《滇南本草》)
②治淋巴结结核：商陆三钱，红糖为引，水煎服。（《云南中草药》
③治卒暴百：商陆根捣碎，蒸之，以新布籍腹上，以药铺著布上，以衣物覆其上，冷复易之，数日用之，旦夕勿息。（《千金方》）
④治十种水气，取水：商陆根（取自然汁一盏），甘遂末一钱。上用土狗一枚，细研，同调上药，只作-服，空心服，日午水下。忌食盐一百日，忌食甘草三日。（《杨氏家藏方》商陆散）
⑤治一切肿毒：商陆根和盐少许，捣敷，日再易之。","{""类别"": ""泻下逐水药。"", ""品质部位"": ""根入药，以白色肥大者为佳，红根有剧毒，仅供外用。以黄白色、片块大、“罗盘纹”明显但数量少、粉性足者为佳。"", ""功效作用"": ""逐水消肿、通利二便、解毒散结。属泻下药下峻下逐水药。"", ""主治运用"": ""治水肿胀满、二便不通；痈肿疮毒、跌打等"", ""使用禁忌"": ""脾虚水肿及孕妇忌用。宜小量开始。过量中毒，可出现恶心呕吐，腹痛腹泻，心动过速，呼吸频数，继则言语不清，躁动，抽搐，严重血压下降，昏迷等。""}"
苍术,味辛、苦，性温。归脾、胃、肝经。,,赤术、枪头菜、马蓟,,,煎服，3～9g。,"①用于治疗脾虚湿聚，水湿内停的痰饮、泄泻或外溢的水肿者：与茯苓、泽泻、猪苓等利水渗湿药同用。（《证治准绳》）
②用于祛湿，治痹证湿胜：可与薏苡仁、独活等祛风湿药同用。（《类证治载》）
③用于治风寒表证挟湿：常于羌活、白芷、防风等同用。（《和剂局方》）
④治湿气身痛：苍术，泔浸，切，水煎，取浓汁熬膏。白汤点服。(《简便单方》)","{""类别"": ""化湿药."", ""品质部位"": ""植物的干燥根茎。以个大、质坚实、断面朱砂点多、香气浓者为佳。"", ""功效作用"": ""燥湿健脾，祛风散寒，明目。"", ""主治运用"": ""用于湿阻中焦，脘腹胀满，泄泻，水肿，脚气痿蹙，风湿痹痛，风寒感冒，夜盲，眼目昏涩。"", ""使用禁忌"": ""《本草纲目》：忌桃、李、雀肉、菘菜、青鱼。""}"
远志,温，苦、辛。归心经、肾经、肺经。,,小草、细草、小鸡腿、细叶远志、线茶,,,用量3～9克，水煎服。,"①心气不足，五脏不足，甚者忧愁悲伤不乐，忽忽喜忘，朝瘥暮剧，暮瘥朝发，发则狂眩：菖蒲、远志（去心）、茯苓各二分，人参三两。上四味，捣下筛，服方寸匕，后食，日三，蜜和丸如梧桐子，服六、七丸，日五，亦得。（《古今录验》定志小丸）
②治神经衰弱，健忘心悸，多梦失眠：远志（研粉），每服一钱，每日二次，米汤冲服。（《陕西中草药》）
③治健忘：远志、石菖蒲等分。煎汤常服。(《卫生易简方》)
④治不寐：远志肉、酸枣仁(炒)、石莲肉等分。水煎服。(《种杏仙方》)
⑤治小儿惊疾：远志(去心)煎汤。随时饮之。(《普济方》)
⑥喉痹作痛。用远志肉为末，吹扑痛处，以涎出为度。⒀脑风头痛。把远志末吸入鼻中。","{""类别"": ""安神药"", ""品质部位"": ""以皮厚、条粗者为佳。"", ""功效作用"": ""安神益智、祛痰、消肿。"", ""主治运用"": ""安神益智，解郁。治惊悸，健忘，梦遗，失眠，咳嗽多痰，痈疽疮肿。心肾不交引起的失眠多梦、健忘惊悸、神志恍惚、咳痰不爽、疮疡肿毒、乳房肿痛。"", ""使用禁忌"": ""阴虚火旺、脾胃虚弱者慎服。用量不宜过大，以免引起恶心呕吐。""}"
冰片,"性寒，味辛、苦。归心经、脾经、肺经。《雷公炮制药性解》：""入肺、肝二经"" 。归心经、脾经、肺经。",,龙脑、2-茨醇,,,用量0.03～0.1克。,"①治酒皶鼻，赤疱注上面脸者：脑子，真酥调涂敷。（《海上方》）
②冰片治牙齿疼痛：冰片、朱砂。末，各少许揩之。（《濒湖集简方》）
③冰片治伤寒舌出过寸者：冰片半分，为末，掺之。（《夷坚志》）
④冰片治头目风热上攻：冰片末半两，南蓬砂末一两。频搐两鼻。（《御药院方》）
⑤冰片治咽喉口齿新久肿痛，及久嗽痰火咽哑作痛：冰片五分，朱砂六分，玄明粉、硼砂各五钱。共研极细末，吹搽患上，甚者日搽五、六次。（《外科正宗》冰硼散）
⑥治痱疮：冰片(研)0.3克，黄柏(末)15克，白面60克，腊茶(末)30克。上拌匀，每以新绵揾药扑上，破者敷之。(《小儿卫生总微论方》)
⑦治内外痔疮：龙脑0.3～0.6克。葱汁化搽之。(《简便单方》)","{""类别"": ""开窍药"", ""品质部位"": ""以片大、色洁白、质松脆、气清香者为佳。"", ""功效作用"": ""开窍醒神、清热止痛。"", ""主治运用"": ""治热闭神昏、痰热内闭、暑热卒厥、小儿惊风及各种疮痈肿痛、溃后不敛、烫火伤、咽喉肿痛、喉痹、目赤肿痛、口舌生疮等。"", ""使用禁忌"": ""孕妇及气血虚者均应慎服。""}"
紫梢花,性温，味甘。归肾经。,,紫霄花、花子,,,内服：研末，1.5-4.5g；或入丸、散。外用：适量，煎汤温洗局部。,"①治阳事痿弱：紫梢花、生龙骨各二钱，麝香少许。为末，蜜丸梧子大。每服二十丸，烧酒下。欲解，饮生姜甘草汤。（《濒湖集简方》）
②治子宫久冷，赤白带下：牡蛎（煅）、黄狗头骨（煅）、紫梢花、韶脑、母丁香、蛇床子、破故纸、桂心等分。上为细末，炼蜜为丸如鸡头大。临事用一粒。（《妇人良方》搐鼻香）
③治阴痒生疮：紫梢花一两，胡椒半两。为粗末，水煎，浴洗三五次。（《小儿卫生总微论方》）
④治子宫久冷，赤白带下：牡蛎(煅)、黄狗头骨(煅)、紫梢花、韶脑、母丁香、蛇床子、破故纸、桂心等分。上为细末，炼蜜为丸如鸡头大。临事用一粒。(《妇人良方》搐鼻香)
⑤治阳事痿弱：紫梢花、生龙骨各二钱，麝香少许。为末，蜜丸梧子大。每服二十丸，烧酒下。(《濒湖集简方》)","{""类别"": ""收涩药"", ""品质部位"": ""简骨海绵科针海绵属动物脆针海绵的干燥群体。"", ""功效作用"": ""补肾助阳，固精缩尿。"", ""主治运用"": ""阳痿，遗精，白浊，虚寒带下，小便失禁，阴囊湿痒。"", ""使用禁忌"": ""阴虚内热者禁用。"", ""相关论述"": ""①《医学入门·本草》：“主阳衰阴痿。”\n②《纲目》：“益阳秘精，疗真元虚惫，阴痿，遗精，余沥，白浊如脂，小便不禁，囊下湿痒，女人阴寒冷带，入丸散及坐汤用。”""}"
苦楝皮,性寒，味甘。归胃经、脾经、肝经。,,苦楝、楝树果、楝枣子,,,煎服，3～6g。外用适量，研末，用猪脂调敷患处。,"①治蛔虫病，可单用水煎、煎膏或制成片剂、糖浆服用；亦可与使君子、槟榔、大黄等同用，如化虫丸。（《全国中成药处方集》）
②治蛲虫病，与百部、乌梅同煎，取浓液于晚间作保留灌肠，连用2～4天。与石榴皮同煎服之，可治钩虫病，如楝榴二皮饮。（《湖北药物志》）
③治虫牙痛：苦楝树皮水煎漱口。(《湖南药物志》)
⑤治顽固性湿癣：苦楝根皮，洗净晒干烧灰，调茶油涂抹患处，隔日洗去再涂，如此三四次。(《福建中医药》1959，(2)，43)","{""类别"": ""驱虫药"", ""品质部位"": ""植物的干燥树皮和根皮。有毒。"", ""功效作用"": ""杀虫，疗癣。"", ""主治运用"": ""治蛔虫和蛲虫病、虫积腹痛；外治疥癣瘙痒。"", ""使用禁忌"": ""孕妇及肝肾功能不全者慎用。"", ""相关论述"": ""①《日华子本草》：治游风热毒，风疹疮疥癞。\n②《名医别录》：疗蛔虫，利大肠。""}"
常山,性寒，味苦、辛。有毒。归肺经、肝经、心经。,,鸡骨常山、黄常山、恒山、树盘根、翻胃木、大金刀、摆子药。,,,用量5～9克，煎服。,"①治疟疾寒热：常山3克，厚朴、青皮、陈皮、炙甘草、槟榔、草果仁各1.5克。上细切，作一服，酒水各半盏，寒多加酒，热多加水，煎八分，露星月一宿，空心冷服。忌热茶汤一日，至午食温粥。(《医学正传》引自《局方》截疟七宝饮)
②治疟疾：常山、槟榔、鳖甲各30克，乌梅、红枣各9个，甘草、生姜各9片，制成浓缩流浸膏10克。日服1～2次，每次5克。一般用12～18克即愈。服后无呕吐及其他副作用。(《中华医学杂志》1955.(6)：526)
③治鹅掌风：常山1斤。以油核桃擦手、足患处，炉内焚常山1斤，用青布盖好熏之。七日不下水。(《何氏济生论》)","{""类别"": ""涌吐药"", ""品质部位"": ""虎耳草科植物常山的根。以质坚硬、断面色淡黄者为佳。"", ""功效作用"": ""截疟、涌吐劫痰。属涌吐药。"", ""主治运用"": ""用治痰饮停聚，胸膈痞塞，疟疾，具有解热、降压、催吐等作用。"", ""使用禁忌"": ""内服不宜过大，脾胃虚弱及肝肾功能不全者禁服。""}"
鼠曲草,性平，味甘。归肺经。,,佛耳草、猫耳朵草、清明菜。,,《日华子》：“调中益气，止泄，除痰，压时气，去热嗽。”,内服：煎汤，6-15g；或研末；或浸酒。外用：适量，煎水洗；或捣敷。,"①治支气管炎，哮喘：鼠曲草、款冬花各60g，胡桃肉、松子仁各120g。水煎混合浓缩，用白蜂蜜50g作膏。每次服1个月。（《浙江民间常用草药》）
②治筋骨痛，脚膝肿痛，跌打损伤：鼠曲草30-60g。水煎服。（《湖南药物志》）
③治脾虚浮肿：鲜鼠曲草60g。水煎服。（《福建中草药》）
④治蚕豆病：田艾60g，车前草、凤尾草各30g，茵陈15g。加水1200ml，煎成800ml，加白糖。当茶饮。（《广东医药卫生科技资料选编》）","{""类别"": ""止咳平喘药"", ""品质部位"": ""菊科植物鼠曲草草。"", ""功效作用"": ""化痰止咳，祛风除湿，解毒。"", ""主治运用"": ""用于咳喘痰多，风湿痹痛，泄泻，水肿，蚕豆病，急、慢性支气管炎，支气管哮喘，风湿性关节炎，带下病，痈疖肿痛，痈肿疔疮，阴囊湿痒，荨麻疹，高血压等。"", ""使用禁忌"": ""使用过量对眼睛有损害。""}"
石蒜,味辛、苦，性温。有毒。归肺、胃、肝经。,,龙爪花、蟑螂花、红花石蒜,,"1．《纲目》：""治疗疮恶核，河水煎服取汗及捣敷之；又中溪毒者，酒煮半升服取吐。""
2．《药性考》：""利窍。治惊风。""
3．《纲目拾遗》：""治喉风，痰核，白火丹，肺痈；煎酒服，单双蛾，痰火气急，对口初起；洗痔漏。""
4．《草木便方》：""治汤火热毒。""
5．《民间常用草药汇编》：""治瘰疬。""
6．《中国药用植物图鉴》：""催吐祛痰。治肋膜炎，腹膜炎，蓄水症。""
7．《上海常用中草药》：""消肿解毒。治疔疮肿毒，食物中毒，痰涎壅塞。""
8．《陕西中草药》：""治骨髓炎，蛇咬伤。""
9．《湖南药物志》：""杀虫。治肺结核，心气痛。""
10．《广西本草选编》：""治无名肿毒，跌打肿痛。""
11．《安徽中草药》：""治淋巴结炎，皮癣。""",一般外用。破皮后不能敷,"1．治双单蛾。老鸦蒜捣汁，生白酒调服。呕吐而愈。(《纲目拾遗》引《神医十全镜》)
2．治痰火气急。蟑螂花根，洗，焙干为末。糖调，酒下一钱。(《纲目拾遗》)
3．治食物中毒，痰涎壅塞。鲜石蒜1.5-3g。煎服催吐。(《上海常用中草药》)
4．治水肿。鲜石蒜8个，蓖麻子(去皮)80粒。共捣烂罨涌泉穴1昼夜，如未愈再罨1次。(《浙江民间常用草药》)
5．治黄疸。鲜石蒜鳞茎1个，蓖麻子7个(去皮)。捣烂敷足心，每日1次。(《南京地区常用中草药》)
6．治癫痫。石蒜3-9g。水煎服。(《红安中草药》)
7．治风湿性关节痛。石蒜、生姜、葱各适量。共捣烂敷患处。(《全国中草药汇编》)
8．治感寒身痛。鲜野蒜60g，捣烂加鸡蛋白1个，调匀，敷于双脚涌泉穴，每日换药1次。(《吉水草药汇编》)","{""类别"": ""杀虫止痒药"", ""品质部位"": ""石蒜科植物石蒜的鳞茎。"", ""功效作用"": ""消肿、杀虫。属杀虫止痒药。"", ""主治运用"": ""外用治淋巴结结核、疔疮疖肿、风湿关节痛、蛇咬伤、水肿、灭蛆、灭鼠。"", ""使用禁忌"": ""体虚，无实邪及孕妇禁服，皮肤破损者禁敷。小孩忌用。""}"
紫玉簪,性平，味甘，有毒。归肺经、肾经。,,紫萼、山玉簪,,,2～3钱。配伍其他药兑酒服或水煎服。,"①治白带，崩漏：紫玉簪叶一至二两，鸡蛋(去壳)一个。水煎服。(《江西草药》)
②治顽固性溃疡：鲜紫玉簪叶洗净，用米汤或开水泡软，敷贴患处，日患三次。(《陕西草药》)","{""类别"": ""拔毒生肌药"", ""品质部位"": ""以全草或根入药"", ""功效作用"": ""散瘀止痛，解毒。"", ""主治运用"": ""含皂苷、挥发油、欧前胡素、胡萝卜苷等。有滋阴补肾、和血止血、清热解毒的功效。用于胃痛、跌打损伤、蛇咬伤、吐血、白带过多、咽喉红肿等。"", ""使用禁忌"": ""忌生冷食物。"", ""论述"": ""①《纲目》：“玉簪，处处人家栽为花草。亦有紫花者，叶微狭。皆鬼臼、射干之属。”\n②《植物名实图考长编》：“按：紫花俗名鸡骨丹，用根取牙。”""}"
