name,label
体仁汇编,Literature
苗族药物集,Literature
全国中草药新医疗法展览会技术资料选编,Literature
贵州民间方药集,Literature
便溏及痰多者忌服,Contraindication
镇惊安神,Efficacy
除烦热,Efficacy
重镇安神药,Category
小儿卫生总微论方,Literature
雷公炮制药性解,Literature
朱氏集验方,Literature
① 《本草经集注》：得人参、牛黄良畏石膏②《雷公炮制药性解》：畏干漆、蜀椒、理石,Contraindication
清心镇惊,Efficacy
安神解毒,Efficacy
古今医统,Literature
药对,Literature
士材三书,Literature
广济方,Literature
片玉心书,Literature
《药性论,Literature
唐瑶经验方,Literature
摘元方,Literature
坠痰下气,Efficacy
平肝镇惊、消食攻积,Efficacy
婴孩宝书,Literature
《纲目,Literature
虚弱之人及孕妇禁服,Contraindication
平肝镇惊,Efficacy
惠直堂经验方,Literature
脾胃虚弱、阴虚燥痰者及孕妇忌服,Contraindication
平肝潜阳,Efficacy
安神镇惊,Efficacy
聪耳明目,Efficacy
纳气平喘,Efficacy
河北,Origin
山东,Origin
江苏,Origin
湖北,Origin
广东,Origin
福建,Origin
四川,Origin
云南等地,Origin
乾坤秘韫,Literature
古今录验方,Literature
卫生家宝方,Literature
脾胃虚弱者慎服，不宜多服、久服重镇伤气，可暂用而不可久,Contraindication
镇心安神,Efficacy
降逆气,Efficacy
暖子=宫,Efficacy
平易方,Literature
青囊秘方,Literature
青囊秘传,Literature
不宜久服妇女绝孕由于阴虚火旺不能摄受精气者忌用,Contraindication
温肺肾,Efficacy
安心神,Efficacy
千金翼方,Literature
本草求真,Literature
镇惊化痰,Efficacy
东北,Origin
西北,Origin
西南等地,Origin
吉林中草药,Literature
饮片新参,Literature
现代实用中药,Literature
中寒痰湿者禁服,Contraindication
散瘀止血,Efficacy
利水通淋,Efficacy
《本草拾遗,Literature
张氏医通,Literature
外台秘要方,Literature
女科万金方,Literature
卫生易简方,Literature
阴虚内热及无淤滞者慎服,Contraindication
养阴熄风,Efficacy
清热坠痰,Efficacy
去翳明目,Efficacy
解毒生肌,Efficacy
儒门事亲,Literature
丹台玉案,Literature
孕妇慎服,Contraindication
行气止痛,Efficacy
温肾散寒,Efficacy
理气药,Category
本草通玄,Literature
魏氏家藏方,Literature
济急仙方,Literature
慎斋遗书,Literature
心医集,Literature
江西草药,Literature
气虚、内热、孕妇忌服,Contraindication
消瘀破积,Efficacy
健脾利湿,Efficacy
活血化瘀破血消癥药,Category
国药提要,Literature
血分无瘀滞及脾胃虚寒者忌服忌荤腥油腻之物,Contraindication
破血消癓,Efficacy
攻毒蚀疮,Efficacy
