source,target,type
苦瓜,痢疾,Herb
天花粉,黄疸,Herb
天花粉,肺热,Herb
天花粉,疮疡,Herb
方解石,黄疸,Herb
大青盐,赤痢,Herb
大青盐,遗尿,Herb
青葙子,眩晕,Herb
淡竹叶,口糜,Herb
布渣叶,消化不良,Herb
布渣叶,黄疸,Herb
布渣叶,中暑,Herb
布渣叶,感冒,Herb
芦根,咳嗽,Herb
芦根,霍乱,Herb
芦根,肺热咳嗽,Herb
芦根,热咳,Herb
芦根,肺热,Herb
栀子,黄疸,Herb
栀子,疮疡,Herb
石膏,烫伤,Herb
石膏,肺热,Herb
石膏,中暑,Herb
石膏,疮疡,Herb
石膏,头痛,Herb
龙胆,黄疸,Herb
龙胆,脑炎,Herb
龙胆,耳聋,Herb
龙胆,惊风,Herb
龙胆,疮疡,Herb
龙胆,头痛,Herb
水翁花,烧伤,Herb
水翁花,消化不良,Herb
水翁花,黄疸,Herb
水翁花,感冒,Herb
水翁花,麻风,Herb
水翁花,痢疾,Herb
鸡蛋花,咳嗽,Herb
鸡蛋花,黄疸,Herb
鸡蛋花,肺热咳嗽,Herb
鸡蛋花,热咳,Herb
鸡蛋花,肺热,Herb
鸡蛋花,中暑,Herb
鸡蛋花,感冒,Herb
鸡蛋花,痢疾,Herb
决明子,头痛,Herb
决明子,眩晕,Herb
知母,肺热,Herb
夏枯草,黄疸,Herb
夏枯草,肺结核,Herb
夏枯草,瘰疬,Herb
夏枯草,乳痈,Herb
夏枯草,头痛,Herb
夏枯草,眩晕,Herb
青蒿,疟疾,Herb
青蒿,黄疸,Herb
青蒿,阴虚发热,Herb
青蒿,阴虚,Herb
毛诃子（藏族习用药材）,黄水疮,Herb
石上柏,癌症,Herb
石上柏,咳嗽,Herb
石上柏,黄疸,Herb
石上柏,肺热咳嗽,Herb
石上柏,热咳,Herb
石上柏,肺热,Herb
石上柏,湿痹,Herb
黄藤,痢疾,Herb
水飞蓟,咳嗽,Herb
水飞蓟,黄疸,Herb
水飞蓟,胆石,Herb
水飞蓟,胆管炎,Herb
水飞蓟,慢性咳嗽,Herb
鸡眼草,黄疸,Herb
鸡眼草,疔疮,Herb
鸡眼草,痢疾,Herb
龙葵,癌症,Herb
龙葵,食管癌,Herb
龙葵,宫颈癌,Herb
龙葵,鼻咽癌,Herb
龙葵,崩漏,Herb
救必应,烫伤,Herb
救必应,感冒,Herb
吉祥草,咳嗽,Herb
吉祥草,黄疸,Herb
吉祥草,肺结核,Herb
吉祥草,肺热咳嗽,Herb
吉祥草,热咳,Herb
吉祥草,肺热,Herb
吉祥草,遗精,Herb
吉祥草,支气管炎,Herb
吉祥草,慢性肾盂肾炎,Herb
胆木,脓肿,Herb
胆木,咽喉炎,Herb
胆木,支气管炎,Herb
胆木,感冒,Herb
胆木,痢疾,Herb
穿心莲,烫伤,Herb
穿心莲,肺结核,Herb
穿心莲,毒蛇咬伤,Herb
穿心莲,感冒,Herb
飞扬草,消化不良,Herb
飞扬草,阿米巴痢疾,Herb
飞扬草,支气管炎,Herb
飞扬草,痢疾,Herb
马齿苋,痢疾,Herb
板蓝根,流行性乙型脑炎,Herb
板蓝根,脑炎,Herb
板蓝根,大头瘟,Herb
板蓝根,火眼,Herb
板蓝根,丹痧,Herb
板蓝根,感冒,Herb
南板蓝根,水痘,Herb
南板蓝根,大头瘟,Herb
南板蓝根,咽炎,Herb
南板蓝根,头痛,Herb
南板蓝根,感冒,Herb
仙人掌,咳嗽,Herb
仙人掌,冻伤,Herb
仙人掌,烫伤,Herb
仙人掌,乳痈,Herb
仙人掌,疔疮,Herb
仙人掌,痢疾,Herb
罗汉果,咳嗽,Herb
罗汉果,肺热,Herb
罗汉果,痰火,Herb
罗汉果,感冒,Herb
白花蛇舌草,阑尾炎,Herb
白花蛇舌草,黄疸,Herb
白花蛇舌草,毒蛇咬伤,Herb
白花蛇舌草,肿瘤,Herb
鼠妇,症瘕,Herb
鼠妇,惊风,Herb
葡萄，葡萄干,咳嗽,Herb
葡萄，葡萄干,慢性病,Herb
葡萄，葡萄干,湿痹,Herb
葡萄，葡萄干,痢疾,Herb
荸荠（biji）,癌症,Herb
荸荠（biji）,咳嗽,Herb
荸荠（biji）,黄疸,Herb
荸荠（biji）,肺热咳嗽,Herb
荸荠（biji）,热咳,Herb
荸荠（biji）,肺热,Herb
荸荠（biji）,痔疮,Herb
荸荠（biji）,口腔炎,Herb
荸荠（biji）,呃逆,Herb
荸荠（biji）,麻疹,Herb
荸荠（biji）,痢疾,Herb
桑螵蛸,早泄,Herb
桑螵蛸,阳痿,Herb
桑螵蛸,肾虚,Herb
桑螵蛸,遗尿,Herb
桑螵蛸,遗精,Herb
蟾蜍,症瘕,Herb
蟾蜍,瘰疬,Herb
蟾蜍,疔疮,Herb
蟾皮,瘰疬,Herb
蟾皮,肿瘤,Herb
蟾皮,腹胀,Herb
冬凌草,咽炎,Herb
冬凌草,头痛,Herb
冬凌草,慢性扁桃体炎,Herb
冬凌草,感冒,Herb
卷柏,咳嗽,Herb
卷柏,症瘕,Herb
卷柏,风寒,Herb
卷柏,头痛,Herb
卷柏,闭经,Herb
卷柏,崩漏,Herb
黄花倒水莲,高脂血症,Herb
王不留行,金疮,Herb
王不留行,胆石,Herb
王不留行,难产,Herb
鬼箭羽,症瘕,Herb
鬼箭羽,虫积,Herb
鸡血藤,瘫痪,Herb
鸡血藤,湿痹,Herb
水蛭,症瘕,Herb
益母草,胎漏,Herb
益母草,疮疡,Herb
益母草,难产,Herb
艾叶,崩漏,Herb
红花,痛经,Herb
西红花,症瘕,Herb
茺蔚子,头痛,Herb
刘寄奴,金疮,Herb
刘寄奴,症瘕,Herb
刘寄奴,产后血瘀,Herb
刘寄奴,泌尿系结石,Herb
刘寄奴,痔疮,Herb
刘寄奴,腹水,Herb
刘寄奴,腹胀,Herb
北刘寄奴,黄疸,Herb
北刘寄奴,腹胀,Herb
鼠尾草,黄疸,Herb
鼠尾草,痛经,Herb
鼠尾草,疮疡,Herb
泽兰,痛经,Herb
泽兰,腹水,Herb
桃仁,症瘕,Herb
桃仁,疟疾,Herb
桃仁,风痹,Herb
月季花,痛经,Herb
月季花,遗精,Herb
月季花,淋巴结结核,Herb
凌霄花,症瘕,Herb
凌霄花,难产,Herb
凌霄花,崩漏,Herb
马鞭草,症瘕,Herb
马鞭草,疟疾,Herb
马鞭草,黄疸,Herb
马鞭草,白喉,Herb
马鞭草,痢疾,Herb
牛膝,难产,Herb
川牛膝,症瘕,Herb
土牛膝,疟疾,Herb
土牛膝,痛经,Herb
土牛膝,淋证,Herb
土牛膝,白喉,Herb
土牛膝,痢疾,Herb
丹参,症瘕,Herb
丹参,痛经,Herb
丹参,热痹,Herb
丹参,疮疡,Herb
瓜子金,咳嗽,Herb
瓜子金,惊风,Herb
瓜子金,感冒,Herb
瓜子金,怔忡,Herb
预知子,痛经,Herb
郁金,黄疸,Herb
郁金,痛经,Herb
郁金,倒经,Herb
郁金,腹胀,Herb
乳香,阑尾炎,Herb
乳香,湿痹,Herb
小蓟,疔疮,Herb
西番莲,痛经,Herb
西番莲,头痛,Herb
西番莲,感冒,Herb
甜瓜子,咳嗽,Herb
甜瓜子,肺热咳嗽,Herb
甜瓜子,热咳,Herb
甜瓜子,肺热,Herb
苦石莲,痢疾,Herb
峨参,咳嗽,Herb
峨参,痛经,Herb
峨参,咯血,Herb
峨参,头痛,Herb
峨参,腹胀,Herb
苏木,痛经,Herb
陆英,麻疹,Herb
夏天无,中风,Herb
夏天无,偏瘫,Herb
夏天无,腰肌劳损,Herb
蓍草,阑尾炎,Herb
蓍草,急性肠炎,Herb
蓍草,毒蛇咬伤,Herb
蓍草,湿痹,Herb
蓍草,感冒,Herb
延胡索,症瘕,Herb
自然铜,烫伤,Herb
自然铜,疮疡,Herb
川芎,痛经,Herb
川芎,头痛,Herb
川芎,胸痹,Herb
川芎,湿痹,Herb
骨碎补,阑尾炎,Herb
骨碎补,肾虚,Herb
骨碎补,耳鸣,Herb
骨碎补,耳聋,Herb
骨碎补,湿痹,Herb
五灵脂,水过多,Herb
五灵脂,闭经,Herb
五灵脂,崩漏,Herb
没药,症瘕,Herb
没药,痛经,Herb
没药,疮疡,Herb
山楂叶,漆疮,Herb
山楂叶,耳鸣,Herb
山楂叶,胸痹,Herb
山楂叶,眩晕,Herb
山楂叶,高脂血症,Herb
丝瓜络,肺热,Herb
两面针,烫伤,Herb
两面针,毒蛇咬伤,Herb
两面针,湿痹,Herb
松花粉,黄水疮,Herb
松花粉,眩晕,Herb
西青果,咽喉炎,Herb
青果,咳嗽,Herb
白药子,金疮,Herb
白药子,阑尾炎,Herb
白药子,毒蛇咬伤,Herb
白药子,痢疾,Herb
北豆根,湿痹,Herb
北豆根,痢疾,Herb
山豆根,喉痈,Herb
山豆根,黄疸,Herb
山豆根,热咳,Herb
紫草茸,疮疡,Herb
紫草茸,麻疹,Herb
紫草茸,崩漏,Herb
臭灵丹草,疟疾,Herb
臭灵丹草,烫伤,Herb
臭灵丹草,中耳炎,Herb
臭灵丹草,中暑,Herb
臭灵丹草,口腔炎,Herb
臭灵丹草,毒蛇咬伤,Herb
臭灵丹草,咽喉炎,Herb
臭灵丹草,支气管炎,Herb
臭灵丹草,感冒,Herb
马勃,咳嗽,Herb
马勃,痔疮,Herb
马勃,咽喉炎,Herb
苦木,风热感冒,Herb
苦木,毒蛇咬伤,Herb
苦木,感冒,Herb
大青叶,黄疸,Herb
大青叶,急性肺炎,Herb
大青叶,咽喉炎,Herb
大青叶,感冒,Herb
大青叶,痢疾,Herb
木棉花,金疮,Herb
木棉花,痢疾,Herb
山银花,风热感冒,Herb
山银花,疔疮,Herb
山银花,感冒,Herb
金银花,风热感冒,Herb
金银花,疔疮,Herb
金银花,感冒,Herb
熊胆,黄疸,Herb
紫花地丁,黄疸,Herb
紫花地丁,疔疮,Herb
紫花地丁,咽炎,Herb
紫花地丁,毒蛇咬伤,Herb
紫花地丁,痢疾,Herb
蛇莓,癌症,Herb
蛇莓,咳嗽,Herb
蛇莓,黄疸,Herb
蛇莓,阿米巴痢疾,Herb
蛇莓,疔疮,Herb
蛇莓,惊风,Herb
蛇莓,白喉,Herb
蛇莓,毒蛇咬伤,Herb
蛇莓,感冒,Herb
蛇莓,痢疾,Herb
苦地丁,黄疸,Herb
苦地丁,角膜溃疡,Herb
苦地丁,疔疮,Herb
苦地丁,上呼吸道感染,Herb
苦地丁,支气管炎,Herb
苦地丁,感冒,Herb
苦地丁,淋巴结结核,Herb
苦地丁,呼吸道感染,Herb
苦地胆,黄疸,Herb
苦地胆,疔疮,Herb
苦地胆,腹水,Herb
杠板归,黄水疮,Herb
杠板归,痔疮,Herb
杠板归,上呼吸道感染,Herb
杠板归,龋齿,Herb
杠板归,痢疾,Herb
杠板归,呼吸道感染,Herb
地锦草,黄疸,Herb
地锦草,疔疮,Herb
地锦草,崩漏,Herb
金莲花,急性中耳炎,Herb
金莲花,中耳炎,Herb
金莲花,疔疮,Herb
金莲花,急性淋巴管炎,Herb
金莲花,慢性扁桃体炎,Herb
金莲花,感冒,Herb
瓦松,疟疾,Herb
瓦松,疔疮,Herb
瓦松,痔疮,Herb
半边莲,癌症,Herb
半边莲,阑尾炎,Herb
半边莲,黄疸,Herb
半边莲,疔疮,Herb
半边莲,足癣,Herb
半边莲,毒蛇咬伤,Herb
半边莲,腹水,Herb
半枝莲,黄疸,Herb
半枝莲,赤痢,Herb
半枝莲,瘰疬,Herb
半枝莲,疔疮,Herb
半枝莲,毒蛇咬伤,Herb
木鳖子,乳痈,Herb
木鳖子,疮疡,Herb
木鳖子,湿痹,Herb
天胡荽,咳嗽,Herb
天胡荽,黄疸,Herb
天胡荽,胆石,Herb
天胡荽,泌尿系结石,Herb
天胡荽,咽喉炎,Herb
天胡荽,腹水,Herb
天胡荽,感冒,Herb
千里光,黄疸,Herb
千里光,烫伤,Herb
千里光,伤寒,Herb
千里光,风热感冒,Herb
千里光,败血症,Herb
千里光,滴虫性阴道炎,Herb
千里光,感冒,Herb
千里光,痢疾,Herb
翻白草,疟疾,Herb
翻白草,瘰疬,Herb
翻白草,阿米巴痢疾,Herb
翻白草,崩漏,Herb
翻白草,痢疾,Herb
三白草,黄疸,Herb
三白草,疮疡,Herb
三白草,尿路感染,Herb
锦灯笼,咳嗽,Herb
锦灯笼,肺热咳嗽,Herb
锦灯笼,热咳,Herb
锦灯笼,肺热,Herb
锦灯笼,痢疾,Herb
山芝麻,咳嗽,Herb
山芝麻,疟疾,Herb
山芝麻,疔疮,Herb
山芝麻,痔疮,Herb
山芝麻,毒蛇咬伤,Herb
山芝麻,咽喉炎,Herb
山芝麻,麻疹,Herb
山芝麻,感冒,Herb
鸦胆子,疟疾,Herb
鸦胆子,痔疮,Herb
鸦胆子,痢疾,Herb
无患子,咳嗽,Herb
无患子,白喉,Herb
无患子,毒蛇咬伤,Herb
无患子,咽喉炎,Herb
无患子,支气管炎,Herb
无患子,感冒,Herb
黄药子,瘰疬,Herb
黄药子,咯血,Herb
黄药子,淋巴结结核,Herb
天葵子,咳嗽,Herb
天葵子,乳痈,Herb
天葵子,疔疮,Herb
天葵子,惊风,Herb
天葵子,毒蛇咬伤,Herb
漏芦,瘰疬,Herb
漏芦,乳痈,Herb
漏芦,痔疮,Herb
漏芦,湿痹,Herb
禹州漏芦,瘰疬,Herb
禹州漏芦,乳痈,Herb
荠苨（jini）,咳嗽,Herb
拳参,咳嗽,Herb
拳参,赤痢,Herb
拳参,瘰疬,Herb
拳参,肺热咳嗽,Herb
拳参,热咳,Herb
拳参,肺热,Herb
拳参,痔疮,Herb
拳参,毒蛇咬伤,Herb
金果榄,阑尾炎,Herb
金果榄,疔疮,Herb
金果榄,口腔炎,Herb
金果榄,慢性扁桃体炎,Herb
金果榄,咽喉炎,Herb
金果榄,痢疾,Herb
金荞麦,热咳,Herb
金荞麦,肺热,Herb
金荞麦,湿痹,Herb
金荞麦,脓肿,Herb
金荞麦,麻疹,Herb
金荞麦,痹证,Herb
金荞麦,痢疾,Herb
朱砂根,白喉,Herb
朱砂根,毒蛇咬伤,Herb
朱砂根,上呼吸道感染,Herb
朱砂根,支气管炎,Herb
朱砂根,腰腿痛,Herb
朱砂根,呼吸道感染,Herb
了哥王,瘰疬,Herb
了哥王,支气管炎,Herb
了哥王,闭经,Herb
了哥王,麻风,Herb
卜芥（bujie）,肺结核,Herb
卜芥（bujie）,伤寒,Herb
卜芥（bujie）,肠伤寒,Herb
卜芥（bujie）,毒蛇咬伤,Herb
狗肝菜,咳嗽,Herb
狗肝菜,流行性乙型脑炎,Herb
狗肝菜,脑炎,Herb
狗肝菜,肺热咳嗽,Herb
狗肝菜,热咳,Herb
狗肝菜,疔疮,Herb
狗肝菜,肺热,Herb
狗肝菜,惊风,Herb
狗肝菜,毒蛇咬伤,Herb
狗肝菜,感冒,Herb
狗肝菜,痢疾,Herb
石蝉草,咳嗽,Herb
石蝉草,烧伤,Herb
石蝉草,烫伤,Herb
石蝉草,肺结核,Herb
石蝉草,胃癌,Herb
石蝉草,肺热咳嗽,Herb
石蝉草,热咳,Herb
石蝉草,乳腺癌,Herb
石蝉草,肺热,Herb
石蝉草,肺癌,Herb
石蝉草,支气管炎,Herb
葫芦茶,硬皮病,Herb
葫芦茶,钩虫病,Herb
葫芦茶,黄疸,Herb
葫芦茶,中暑,Herb
葫芦茶,肺病,Herb
葫芦茶,感冒,Herb
葫芦茶,痢疾,Herb
青天葵,咳嗽,Herb
青天葵,肺结核,Herb
青天葵,精神病,Herb
青天葵,咯血,Herb
青天葵,口腔炎,Herb
青天葵,支气管炎,Herb
叶下珠,黄疸,Herb
叶下珠,痢疾,Herb
射干,咳嗽,Herb
射干,瘰疬,Herb
白蔹,胎死不下,Herb
白蔹,风痹,Herb
白蔹,烫伤,Herb
白蔹,瘰疬,Herb
白蔹,疮疡,Herb
白蔹,痢疾,Herb
重楼,惊风,Herb
重楼,毒蛇咬伤,Herb
七叶一枝花,阑尾炎,Herb
七叶一枝花,流行性乙型脑炎,Herb
七叶一枝花,脑炎,Herb
七叶一枝花,乳痈,Herb
七叶一枝花,疮疡,Herb
七叶一枝花,淋巴结结核,Herb
贯众,产后出血,Herb
贯众,风热感冒,Herb
贯众,疮疡,Herb
贯众,绦虫病,Herb
贯众,感冒,Herb
贯众,崩漏,Herb
连翘,风热感冒,Herb
连翘,乳痈,Herb
连翘,感冒,Herb
无花果,咳嗽,Herb
无花果,消化不良,Herb
无花果,痔疮,Herb
无花果,腹胀,Herb
无花果,痢疾,Herb
败酱草,阑尾炎,Herb
败酱草,疔疮,Herb
败酱草,痢疾,Herb
鱼腥草,疟疾,Herb
鱼腥草,痔疮,Herb
鱼腥草,疮疡,Herb
筋骨草,阑尾炎,Herb
筋骨草,烫伤,Herb
筋骨草,疮疡,Herb
筋骨草,咽炎,Herb
筋骨草,毒蛇咬伤,Herb
筋骨草,上呼吸道感染,Herb
筋骨草,支气管炎,Herb
筋骨草,呼吸道感染,Herb
山慈菇,瘰疬,Herb
山慈菇,淋巴结结核,Herb
鬼针草,疟疾,Herb
鬼针草,痔疮,Herb
鬼针草,痢疾,Herb
十大功劳,烫伤,Herb
十大功劳,肺结核,Herb
十大功劳,支气管炎,Herb
十大功劳,感冒,Herb
十大功劳,痢疾,Herb
十大功劳叶,黄疸,Herb
十大功劳叶,肺结核,Herb
十大功劳叶,耳鸣,Herb
十大功劳叶,黄疸性肝炎,Herb
十大功劳叶,感冒,Herb
蟛蜞菊[péng qí jú],疔疮,Herb
蟛蜞菊[péng qí jú],咯血,Herb
蟛蜞菊[péng qí jú],白喉,Herb
蟛蜞菊[péng qí jú],咽喉炎,Herb
蟛蜞菊[péng qí jú],支气管炎,Herb
蟛蜞菊[péng qí jú],麻疹,Herb
蟛蜞菊[péng qí jú],感冒,Herb
一支箭,烫伤,Herb
一支箭,痔疮,Herb
一支箭,毒蛇咬伤,Herb
委陵菜,赤痢,Herb
委陵菜,瘫痪,Herb
委陵菜,痔疮,Herb
委陵菜,咯血,Herb
委陵菜,咽喉炎,Herb
委陵菜,痢疾,Herb
络石藤,流产,Herb
络石藤,湿痹,Herb
母丁香,阴冷,Herb
风柜斗草,咳嗽,Herb
风柜斗草,肺热咳嗽,Herb
风柜斗草,热咳,Herb
风柜斗草,耳鸣,Herb
风柜斗草,肺热,Herb
风柜斗草,湿痹,Herb
金不换,消化不良,Herb
金不换,风寒,Herb
金不换,头痛,Herb
金不换,感冒,Herb
金不换,腹胀,Herb
蜂蜜,咳嗽,Herb
蜂蜜,烫伤,Herb
蜂蜜,疮疡,Herb
三棵针,黄疸,Herb
三棵针,疮疡,Herb
回春草,性功能障碍,Herb
通光散,黄疸,Herb
通光散,热咳,Herb
通光散,肺热,Herb
面根藤,消化不良,Herb
地牯牛,疟疾,Herb
地牯牛,瘰疬,Herb
车前子,咳嗽,Herb
车前子,湿痹,Herb
五香血藤,烫伤,Herb
五香血藤,遗尿,Herb
五香血藤,小儿遗尿,Herb
五香血藤,腹胀,Herb
地菍,贫血,Herb
地菍,腰腿痛,Herb
地菍,痢疾,Herb
地菍,盆腔炎,Herb
荔枝草,痔疮,Herb
荔枝草,腹水,Herb
荔枝草,崩漏,Herb
益智仁,遗尿,Herb
益智仁,气腹痛,Herb
益智仁,遗精,Herb
蝼蛄,瘰疬,Herb
百草霜,咯血,Herb
石龙子,瘰疬,Herb
石龙子,臁疮,Herb
石龙子,癃闭,Herb
蓝布正,咳嗽,Herb
蓝布正,惊风,Herb
蓝布正,头痛,Herb
蓝布正,腰腿痛,Herb
铁包金,精神分裂症,Herb
铁包金,疔疮,Herb
铁包金,麻疹,Herb
莲须,遗尿,Herb
莲须,崩漏,Herb
猕猴桃根,瘰疬,Herb
石莲子,遗精,Herb
老鹤草,湿痹,Herb
老鹤草,腹胀,Herb
芡实,遗精,Herb
芡实,脾虚泄泻,Herb
黄芪（黄耆）,蛋白尿,Herb
黄芪（黄耆）,慢性肾炎,Herb
黄芪（黄耆）,崩漏,Herb
腹水草,毒蛇咬伤,Herb
腹水草,腹水,Herb
萝藦,阳痿,Herb
萝藦,瘰疬,Herb
萝藦,疔疮,Herb
萝藦,遗精,Herb
一口钟,疟疾,Herb
一口钟,消化不良,Herb
一口钟,腹胀,Herb
千金藤,疟疾,Herb
千金藤,毒蛇咬伤,Herb
千金藤,湿痹,Herb
千金藤,痢疾,Herb
苦荬菜,黄疸,Herb
苦荬菜,乳痈,Herb
苦荬菜,淋证,Herb
苦荬菜,毒蛇咬伤,Herb
苦荬菜,痢疾,Herb
苣荬菜（大叶苣荬菜）,咳嗽,Herb
苣荬菜（大叶苣荬菜）,痔疮,Herb
苣荬菜（大叶苣荬菜）,内痔,Herb
苣荬菜（大叶苣荬菜）,疮疡,Herb
苣荬菜（大叶苣荬菜）,痢疾,Herb
剑麻,痔疮,Herb
剑麻,咯血,Herb
剑麻,疮疡,Herb
剑麻,痢疾,Herb
田基黄,阑尾炎,Herb
田基黄,黄疸,Herb
田基黄,毒蛇咬伤,Herb
田基黄,脓肿,Herb
田基黄,痢疾,Herb
紫金牛,咳嗽,Herb
紫金牛,肺结核,Herb
紫金牛,咯血,Herb
紫金牛,慢性肾炎,Herb
夜明砂,肝胆湿热,Herb
夜明砂,疟疾,Herb
夜明砂,小儿麻疹,Herb
夜明砂,瘰疬,Herb
夜明砂,麻疹,Herb
夜明砂,淋巴结核,Herb
饴糖,咳嗽,Herb
杏仁,咳嗽,Herb
杏仁,疮疡,Herb
黄鹌菜,血尿,Herb
黄鹌菜,乳痈,Herb
黄鹌菜,尿路感染,Herb
黄鹌菜,毒蛇咬伤,Herb
黄鹌菜,腹水,Herb
黄鹌菜,感冒,Herb
黄鹌菜,痢疾,Herb
掌叶半夏,咳嗽,Herb
掌叶半夏,中风,Herb
掌叶半夏,惊风,Herb
狗尾草,颈淋巴结结核,Herb
狗尾草,遗精,Herb
狗尾草,淋巴结结核,Herb
高丽参,阳痿,Herb
葶苈子,咳嗽,Herb
葶苈子,症瘕,Herb
葶苈子,伤寒,Herb
葶苈子,中风,Herb
葶苈子,痰饮,Herb
葶苈子,肿胀,Herb
辣木籽,癌症,Herb
辣木籽,神经衰弱,Herb
辣木籽,气胀,Herb
辣木籽,口腔炎,Herb
辣木籽,头痛,Herb
辣木籽,低血糖,Herb
辣木籽,咽喉炎,Herb
辣木籽,眩晕,Herb
大青根,黄疸,Herb
大青根,睾丸炎,Herb
大青根,热痹,Herb
大青根,头痛,Herb
大青根,麻疹,Herb
大青根,感冒,Herb
乌蕨,咳嗽,Herb
乌蕨,烫伤,Herb
乌蕨,热咳,Herb
乌蕨,风热感冒,Herb
乌蕨,中暑,Herb
乌蕨,疮疡,Herb
乌蕨,感冒,Herb
乌蕨,痢疾,Herb
乌蕨,白痢,Herb
回心草,神经衰弱,Herb
回心草,怔忡,Herb
蒲葵子,症瘕,Herb
蒲葵子,食管癌,Herb
蒲葵子,胃癌,Herb
蒲葵子,吞咽困难,Herb
蒲葵子,头痛,Herb
蒲葵子,贲门癌,Herb
蒲葵子,肿瘤,Herb
款冬花,咳嗽,Herb
款冬花,中风,Herb
款冬花,痰饮,Herb
款冬花,支气管炎,Herb
楤木根,瘰疬,Herb
楤木根,腹水,Herb
楤木根,痢疾,Herb
石见穿,黄疸,Herb
石见穿,痛经,Herb
石见穿,瘰疬,Herb
石见穿,乳痈,Herb
石见穿,痰饮,Herb
石见穿,麻风,Herb
石见穿,崩漏,Herb
紫珠草,咯血,Herb
紫珠草,湿痹,Herb
紫珠草,崩漏,Herb
刺楸树根,痔疮,Herb
刺三甲,咳嗽,Herb
刺三甲,黄疸,Herb
刺三甲,热咳,Herb
刺三甲,疮疡,Herb
刺三甲,感冒,Herb
扁豆根,痔疮,Herb
扁豆根,痢疾,Herb
扁竹根,腹胀,Herb
大血藤,丝虫病,Herb
大血藤,阑尾炎,Herb
大血藤,赤痢,Herb
大血藤,痛经,Herb
大血藤,湿痹,Herb
大血藤,麻风,Herb
大血藤,崩漏,Herb
大血藤,痢疾,Herb
大血藤,白痢,Herb
皂荚,咳嗽,Herb
皂荚,风痹,Herb
皂荚,中风,Herb
皂荚,腹胀,Herb
皂荚子,瘰疬,Herb
白丁香,中风,Herb
白丁香,疮疡,Herb
白丁香,龋齿,Herb
农吉利,恶性肿瘤,Herb
农吉利,胃癌,Herb
农吉利,耳鸣,Herb
农吉利,耳聋,Herb
农吉利,乳腺癌,Herb
农吉利,疔疮,Herb
农吉利,毒蛇咬伤,Herb
农吉利,湿痹,Herb
农吉利,眩晕,Herb
农吉利,肿瘤,Herb
农吉利,痢疾,Herb
三叶青,宫颈炎,Herb
三叶青,白喉,Herb
三叶青,毒蛇咬伤,Herb
三叶青,感冒,Herb
三叶青,淋巴结结核,Herb
三叶青,痢疾,Herb
泥胡菜,乳痈,Herb
泥胡菜,疔疮,Herb
凤尾草,黄疸,Herb
凤尾草,赤痢,Herb
凤尾草,瘰疬,Herb
凤尾草,伤寒,Herb
凤尾草,乳痈,Herb
凤尾草,疔疮,Herb
凤尾草,肺热,Herb
凤尾草,蛲虫病,Herb
凤尾草,惊风,Herb
凤尾草,尿路感染,Herb
凤尾草,遗精,Herb
凤尾草,感冒,Herb
凤尾草,崩漏,Herb
凤尾草,痢疾,Herb
鸡爪草,瘰疬,Herb
鸡爪草,风寒,Herb
鸡爪草,痢疾,Herb
秦皮,风痹,Herb
秦皮,风寒,Herb
秦皮,湿痹,Herb
云母,中风,Herb
云母,风寒,Herb
云母,眩晕,Herb
刺梨根,痔疮,Herb
刺梨根,遗精,Herb
刺梨根,崩漏,Herb
刺梨根,痢疾,Herb
马陆虫,痞满,Herb
马陆虫,麻风,Herb
昆布,咳嗽,Herb
昆布,瘰疬,Herb
昆布,痰饮,Herb
胡粉,症瘕,Herb
胡粉,疟疾,Herb
胡粉,烫伤,Herb
胡粉,虫积,Herb
胡粉,痢疾,Herb
2927,马牙,Herb
2927,崩漏,Herb
2960,乳痈,Herb
2960,疮疡,Herb
2960,痢疾,Herb
藁本,风寒,Herb
藁本,湿痹,Herb
藁本,感冒,Herb
葱白,伤寒,Herb
葱白,头痛,Herb
葱白,虫积,Herb
葱白,痢疾,Herb
鹅不食草,风寒头痛,Herb
鹅不食草,咳嗽,Herb
鹅不食草,疟疾,Herb
鹅不食草,耳聋,Herb
鹅不食草,风寒,Herb
鹅不食草,头痛,Herb
鹅不食草,湿痹,Herb
鹅不食草,感冒,Herb
苍耳子,风寒头痛,Herb
苍耳子,风寒,Herb
苍耳子,头痛,Herb
苍耳子,湿痹,Herb
胡荽,积滞,Herb
胡荽,肠结,Herb
胡荽,麻疹,Herb
374,麻疹,Herb
374,感冒,Herb
细辛,风寒,Herb
细辛,痰饮,Herb
细辛,头痛,Herb
细辛,湿痹,Herb
细辛,感冒,Herb
麻黄,咳嗽,Herb
麻黄,风寒,Herb
麻黄,感冒,Herb
桂枝,风寒,Herb
桂枝,痰饮,Herb
桂枝,感冒,Herb
荆芥,疮疡,Herb
荆芥,头痛,Herb
荆芥,麻疹,Herb
荆芥,感冒,Herb
荆芥,崩漏,Herb
506,风寒,Herb
506,痰饮,Herb
506,感冒,Herb
肉桂,痛经,Herb
肉桂,阳痿,Herb
五指毛桃,咳嗽,Herb
五指毛桃,湿痹,Herb
五指毛桃,腹水,Herb
五指毛桃,肿瘤,Herb
蛇胆,咳嗽,Herb
蛇胆,神经衰弱,Herb
蛇胆,肺热咳嗽,Herb
蛇胆,热咳,Herb
蛇胆,肺热,Herb
蛇胆,痔疮,Herb
蛇胆,惊风,Herb
蛇胆,支气管炎,Herb
火炭母,消化不良,Herb
火炭母,白喉,Herb
火炭母,毒蛇咬伤,Herb
火炭母,咽喉炎,Herb
