disease_id,symptom_name
韦格纳肉芽肿,小血管纤维性坏死
韦格纳肉芽肿,肾功能衰竭
系统性红斑狼...,关节肿痛
系统性红斑狼...,巩膜外层炎
痛风石,痛风结节
痛风石,尿酸结晶
慢性皮肤粘膜...,黏膜稍苍白
慢性皮肤粘膜...,卵巢功能障碍
复发性多软骨炎性,巩膜外层炎
复发性多软骨炎性,耳廓痛
吞噬功能缺陷病,肉芽肿
吞噬功能缺陷病,淋巴结肿大
抗体免疫缺陷病,免疫缺陷
抗体免疫缺陷病,反复感染
乳腺结节,经期前乳房痛
乳腺结节,乳房疼痛
肾盂旁囊肿,腰痛
肾盂旁囊肿,肾区叩击痛
腹股沟淋巴结炎,淋巴结肿大
腹股沟淋巴结炎,腹股沟疼痛
肋软骨炎,肋骨痛
肋软骨炎,侧肋骨痛
跟痛症,足跟痛
跟痛症,脚后跟长骨刺
浸润性乳腺癌,乳房肿块
浸润性乳腺癌,乳房疼痛
筋膜炎,肌肉痉挛性疼痛
筋膜炎,肌肉紧张性疼痛
骨膜炎,骨痛
骨膜炎,水肿
骶髂关节炎,骶髂关节疼痛
骶髂关节炎,晨僵
化脓性乳腺炎,乳房胀痛
化脓性乳腺炎,乳头皲裂
骨癌,肩部运动受限
骨癌,食欲减退
小叶增生,经期前乳房痛
小叶增生,乳房肿块
铜绿假单胞菌感染,复杂性尿路感染
铜绿假单胞菌感染,角膜溃疡
假单胞菌感染,腹泻
假单胞菌感染,败血症
甲周炎,热痛
甲周炎,手指甲周围起皮
流感嗜血杆菌感染,咽痛
流感嗜血杆菌感染,脓肿
败血症,持续性弛张热
败血症,脑膜炎
葡萄球菌感染,脑膜炎
葡萄球菌感染,细菌性心内膜炎
囊虫病,红晕
囊虫病,抽搐
脾脓肿,白细胞增多
脾脓肿,上腹部疼痛
混合性厌氧菌感染,脓肿
混合性厌氧菌感染,血管内凝血
减压病,瘙痒
减压病,肌肉酸痛
口蹄疫,疱疹
口蹄疫,恶心
脉管炎,皮肤湿冷
脉管炎,指（趾）麻木
乳腺囊肿,持续性胸部疼痛
乳腺囊肿,经期前乳房痛
?N动脉陷迫综合征,足背动脉搏动消失
?N动脉陷迫综合征,小腿肿胀疼痛
血管炎,肾损害
血管炎,气急
巨乳症,乳房肥大
巨乳症,乳房巨大
外生殖器畸形,睾丸发育不全
外生殖器畸形,阴道闭锁
动静脉血管瘤,蓝色橡皮大疱痣
动静脉血管瘤,血管壁及周围有
毛细血管瘤,鲜红斑痣
毛细血管瘤,蜘蛛痣
腰椎病,腰痛
腰椎病,手脚发麻
椎管狭窄,腰臀部广泛性疼
椎管狭窄,间歇性跛行
骨结核,消瘦
骨结核,低热
跟腱炎,足跟痛
许莫氏结节,神经肌肉症状
许莫氏结节,神经伤
骨裂,骨裂
骨裂,髌骨骨裂
膝关节韧带损伤,韧带断裂
膝关节韧带损伤,膝关节疼痛
室管膜肿瘤,步态不稳
室管膜肿瘤,低热
蛛网膜囊肿,颅内压增高
蛛网膜囊肿,脑积水
脑水肿,脑灰质异常
脑水肿,脑电波的改变
骶管囊肿,坐骨神经痛
骶管囊肿,下腰部疼痛
风湿免疫病,指（趾）麻木
风湿免疫病,关节肿痛
透明隔囊肿,深感觉障碍
透明隔囊肿,运动功能障碍
脑囊肿,颅内压增高
脑囊肿,透明隔腔增宽
颅脑损伤,昏迷
颅脑损伤,颈动脉搏动减弱或消失
髓母细胞瘤,共济失调
髓母细胞瘤,意识丧失
自发性蛛网膜...,出冷汗
自发性蛛网膜...,背痛
脑血栓形成,感觉过度
脑血栓形成,吞咽困难
脊髓血管畸形,运动功能障碍
脊髓血管畸形,颅外头痛
乳腺疾病,乳房红肿热痛
乳腺疾病,经期前乳房痛
弥漫性胸膜间皮瘤,窒息
弥漫性胸膜间皮瘤,胸腔积液
乳糜胸,呼吸困难
乳糜胸,乏力
空气栓塞,空气栓塞
空气栓塞,烦躁不安
张力性气胸,皮下气肿
张力性气胸,胸骨后疼痛
胸腺癌,消瘦
胸腺癌,胸痛
胸壁深部软组织感染,胸壁疼痛
胸壁深部软组织感染,发烧
肺泡癌,胸痛
肺泡癌,痰中带血丝
肺不发育或发育不全,呼吸音减弱
肺不发育或发育不全,咯血
先天性胸骨后膈疝,上腹部疼痛
先天性胸骨后膈疝,腹肌紧张
胸壁软组织肿瘤,白细胞增多
胸壁软组织肿瘤,咖啡斑
胆管结石,腹痛
胆管结石,高热寒战
胆囊息肉样病变,息肉
胆囊息肉样病变,恶心与呕吐
胆囊囊肿,放射性疼痛
胆囊囊肿,腹痛伴黄疸
黄疸性肝炎,恶心与呕吐
黄疸性肝炎,腹痛
先天性肝内胆...,畏寒
先天性肝内胆...,腹痛
胰腺肉瘤,低热
胰腺肉瘤,消耗性体重下降
急性胆管炎,胆绞痛
急性胆管炎,高热寒战
肝结石,上腹不适
肝结石,上腹部疼痛
急性梗阻性化...,黄疸
急性梗阻性化...,腹痛
老年人胆囊癌,腹水
老年人胆囊癌,结节
老年人急性胰腺炎,高热
老年人急性胰腺炎,腹痛
胆道结石,腹痛
胆道结石,胆绞痛
前列腺病,尿频
前列腺病,尿急
男假两性畸形,两性畸形
男假两性畸形,男性化
急性尿道炎,泌尿道狭窄
急性尿道炎,尿道黏膜外翻
马蹄形肾,尿频
马蹄形肾,腹泻
睾丸囊肿,阴囊水肿
睾丸囊肿,阴囊肿胀
滴虫性尿道炎,尿道流出分泌物
滴虫性尿道炎,排尿时外阴灼热
泌尿生殖系放线菌病,钝痛
泌尿生殖系放线菌病,低热
肾钙乳,弯腰时腰痛
肾钙乳,肾区压痛
泌尿系结石,腰痛伴尿频
泌尿系结石,尿
泌尿系结石,一侧腰腹突发“
霉菌性尿道炎,排尿时外阴灼热
霉菌性尿道炎,尿痛
阴囊癌,腹股沟淋巴结肿大
阴囊癌,无痛性阴囊内肿块
冻伤,皮肤冻伤
冻伤,“冻僵”现象
浸渍足,感觉过敏
浸渍足,心动过速
外阴烧伤、烫...,挛缩性疤痕
外阴烧伤、烫...,剧痛
小儿触电与雷击,无力
小儿触电与雷击,面色苍白
触电,心悸
触电,头晕
烧伤败血症,尿偏碱
烧伤败血症,败血症的征象
电灼伤,心悸
电灼伤,烧伤后脉搏增速
烧伤休克,烧伤创面甜腥气
烧伤休克,角膜烧伤
烧伤,剧痛
烧伤,烧伤创面淡黄色
烧伤感染,烧伤后恶心与呕吐
烧伤感染,烧伤创面淡黄色
热烧伤,水肿
热烧伤,剧痛
化学烧伤,呼吸困难
化学烧伤,乏力
肛门息肉,便血
肛门息肉,直肠肛门内胀痛不适
肛肠疾病,肛门疼痛
肛肠疾病,肛门坠胀
小肠炎,腹痛伴腹泻
小肠炎,发热伴寒战
肛乳头瘤,肛门疼痛
肛乳头瘤,肛门瘙痒
瘘疮,便秘
瘘疮,便血
肛管直肠周围脓肿,肛内轻微隐痛坠
肛管直肠周围脓肿,直肠肛门内胀痛不适
内痔,便鲜红血呈点滴
内痔,产后便血
外痔,痔出血
外痔,结缔组织性外痔
肛提肌综合征,肛门疼痛
肛提肌综合征,肛门短时间阵发性钝痛
肛周湿疹,肛周皮肤有湿疹
肛周湿疹,瘙痒
肛裂,坐立不安
肛裂,疲劳
会阴下降综合征,肛门坠胀
会阴下降综合征,尿失禁与遗尿
女性假两性畸形,闭经
女性假两性畸形,男性化
先天性并指多指畸形,多指（趾）畸形
小颌畸形综合征,婴儿喂养困难
小颌畸形综合征,呛咳
排卵期出血,双相型体温
排卵期出血,阴道出血
妇科炎症,白带增多
妇科炎症,阴道口局部红肿热痛
妇科病,白带异常
妇科病,月经不调
宫颈湿疣,湿疣
宫颈湿疣,白带增多
无脑儿,死胎
无脑儿,流产
宫颈癌前病变,白带增多
