prescription_name,herb_name,dosage
桂枝葛根汤（桂枝加葛根汤）,芍药（,6克）
桂枝葛根汤（桂枝加葛根汤）,生姜（,9克）
桂枝葛根汤（桂枝加葛根汤）,甘草（,6克）
桂枝葛根汤（桂枝加葛根汤）,大枣（,3枚）
桂枝葛根汤（桂枝加葛根汤）,葛根（,12克）
桂枝葛根汤（桂枝加葛根汤）,桂枝,七钱
桂枝葛根汤（桂枝加葛根汤）,芍药,七钱
桂枝葛根汤（桂枝加葛根汤）,甘草,七钱
桂枝葛根汤（桂枝加葛根汤）,葛根,一两三钱
桂枝葛根汤（桂枝加葛根汤）,桂枝,一钱
桂枝葛根汤（桂枝加葛根汤）,葛根,一钱
桂枝葛根汤（桂枝加葛根汤）,赤芍药,一钱
桂枝葛根汤（桂枝加葛根汤）,升麻,一钱
桂枝葛根汤（桂枝加葛根汤）,防风,一钱
桂枝葛根汤（桂枝加葛根汤）,甘草,一钱
桂枝葛根汤（桂枝加葛根汤）,葛根,12克
桂枝葛根汤（桂枝加葛根汤）,麻黄,9克(去节)
桂枝葛根汤（桂枝加葛根汤）,芍药,6克
桂枝葛根汤（桂枝加葛根汤）,生姜,9克(切)
桂枝葛根汤（桂枝加葛根汤）,甘草,6克(炙)
桂枝葛根汤（桂枝加葛根汤）,大枣,12枚(擘)
桂枝葛根汤（桂枝加葛根汤）,桂枝,6克(去皮)
建瓯汤,生怀山药,30克
建瓯汤,怀牛膝,30克
建瓯汤,生赭石,24克（轧细）
建瓯汤,生龙骨,18克（捣细）
建瓯汤,生牡蛎,18克（捣细）
建瓯汤,生怀地黄,18克
建瓯汤,生杭芍,12克
建瓯汤,柏子仁,12克
厚朴七物汤,厚朴半斤(,15克)
厚朴七物汤,甘草三两(,9克)、大黄三两(9克)
厚朴七物汤,大枣十枚(,4枚)
厚朴七物汤,枳实五枚(,9克)
厚朴七物汤,挂枝二两(,6克)
厚朴七物汤,生姜五两(,12克)
生脉饮,人参,适量
生脉饮,麦冬,适量
生脉饮,五味子,适量
龟鹿二仙胶（龟鹿二仙膏、二仙胶、龟鹿二胶）,鹿角十斤(,5000克)、龟甲五斤(2500克)、人参十五两(450克)、枸杞子三十两(900克)
龟鹿二仙胶（龟鹿二仙膏、二仙胶、龟鹿二胶）,赤白何首乌各一斤(,500克)
龟鹿二仙胶（龟鹿二仙膏、二仙胶、龟鹿二胶）,白茯苓半斤(,250克)
龟鹿二仙胶（龟鹿二仙膏、二仙胶、龟鹿二胶）,牛膝半斤(,250克)
龟鹿二仙胶（龟鹿二仙膏、二仙胶、龟鹿二胶）,当归半斤(,250克)
龟鹿二仙胶（龟鹿二仙膏、二仙胶、龟鹿二胶）,枸杞半斤(,250克)
龟鹿二仙胶（龟鹿二仙膏、二仙胶、龟鹿二胶）,菟丝子半斤(,250克)
龟鹿二仙胶（龟鹿二仙膏、二仙胶、龟鹿二胶）,补骨脂四两(,120克)
开郁种玉汤,白芍,30克
开郁种玉汤,香附,9克
开郁种玉汤,当归,15克
开郁种玉汤,白术,15克
开郁种玉汤,丹皮,9克
开郁种玉汤,茯苓,9克
开郁种玉汤,花粉,6克
三甲复脉汤,甘草,18克)
三甲复脉汤,干地黄,18克)
三甲复脉汤,生白芍各六钱(,18克)
三甲复脉汤,不麦门冬五钱(,15克)
三甲复脉汤,阿胶三钱(,9克)
三甲复脉汤,麻仁三钱(,9克)
三甲复脉汤,生牡蛎五钱(,15克)
三甲复脉汤,生鳖甲八钱(,24克)
三甲复脉汤,生龟甲一两(,30克)
二甲复脉汤,甘草,18克
二甲复脉汤,干地黄,18克
二甲复脉汤,生白芍,18克
二甲复脉汤,麦冬,15克
二甲复脉汤,阿胶,9克(烊化服)
二甲复脉汤,火麻仁,9克
二甲复脉汤,生牡蛎,15克
二甲复脉汤,生鳖甲,24克
二甲复脉汤,加减复脉汤加生牡蛎,5钱
二甲复脉汤,生鳖甲,8钱
一甲复脉汤,牡蛎,30克（碾细）
一甲复脉汤,甘草,18克
一甲复脉汤,干地黄,18克
一甲复脉汤,生白芍,18克
一甲复脉汤,麦冬,15克（不去心）
一甲复脉汤,阿胶,9克
助仙丹,白茯苓五钱（,15g）
助仙丹,陈皮五钱（,15g）
助仙丹,白术三钱（,9g）
助仙丹,土白芍三钱（,9g）
助仙丹,酒山药三钱（,9g）
助仙丹,菟丝子二钱（,6g）
助仙丹,酒杜仲一钱（,3g）
助仙丹,黑甘草（,3g）
益经汤,大熟地,30克（九蒸）
益经汤,白术,30克（土炒）
益经汤,山药,15克（炒）
益经汤,当归,15克（酒洗）
益经汤,白芍,9克（酒炒）
益经汤,生枣仁,9克（捣碎）
益经汤,丹皮,6克
益经汤,沙参,9克
益经汤,柴胡,3克
益经汤,杜仲,3克（炒黑）
益经汤,人参,6克
理中汤,人参,6克(可用党参代替)
理中汤,干姜,9克
理中汤,甘草,6克
理中汤,白术,12克
麻黄附子甘草汤,麻黄去节,适量
麻黄附子甘草汤,二两（,6g）
麻黄附子甘草汤,甘草,适量
麻黄附子甘草汤,二两（,6g）
麻黄附子甘草汤,附子炮,适量
麻黄附子甘草汤,破八片,适量
麻黄附子甘草汤,一枚（,5g）
桃红四物汤,熟地,15克、当归15克、
桃红四物汤,白芍,10克、
桃红四物汤,川芎,8克、
桃红四物汤,桃仁,9克、红花6克
桂枝加附子汤,桂枝,9克)
桂枝加附子汤,芍药,9克)
桂枝加附子汤,甘草,9克)
桂枝加附子汤,生姜各三两(,9克)
桂枝加附子汤,大枣十二枚(,3枚)
桂枝加附子汤,附子一枚(,9克)
导痰汤,半夏四两(,120克)
导痰汤,炮天南星,一两(30克)
导痰汤,橘红,一两(30克)
导痰汤,麸去瓤枳实,一两(30克)
导痰汤,赤茯苓,一两(30克)
导痰汤,甘草半两(,15克)
导痰汤,苍术,2两
导痰汤,香附,2两
导痰汤,枳壳,2两
导痰汤,陈皮,1两5钱
导痰汤,茯苓,1两5钱
导痰汤,胆星,1两
导痰汤,甘草,1两
导痰汤,苍术,2两
导痰汤,香附,2两
导痰汤,陈皮,1两半
导痰汤,南星（炮,适量
导痰汤,另制）,1两
导痰汤,枳壳,1两
导痰汤,半夏,1两
导痰汤,川芎,1两
导痰汤,滑石,4两
导痰汤,白茯,1两半
导痰汤,神曲,1两
导痰汤,苍术,9克
导痰汤,制南星,9克
导痰汤,石楠叶,9克
导痰汤,香附,10克
导痰汤,杜仲,10克
导痰汤,仙灵脾,10克
导痰汤,陈皮,6克
导痰汤,茯苓,15克
导痰汤,制半夏,12克
麻桂各半汤,麻黄,4.5克
麻桂各半汤,桂枝,6克
麻桂各半汤,白芍,9克
麻桂各半汤,杏仁,9克
麻桂各半汤,生姜,3片
麻桂各半汤,红枣,5枚
麻桂各半汤,甘草,6克.
升麻葛根汤,升麻,30克
升麻葛根汤,芍药,30克
升麻葛根汤,甘草,30克
升麻葛根汤,葛根,45克
海浮散,乳香、,适量
海浮散,没药,等分
葶苈大枣泻肺汤（又名葶苈大枣汤、葶苈泻肺汤）,葶苈子五钱(,15克)
葶苈大枣泻肺汤（又名葶苈大枣汤、葶苈泻肺汤）,大枣五钱(,15克)
麻黄杏仁薏苡甘草汤,麻黄（,9g）、
麻黄杏仁薏苡甘草汤,杏仁（,6g）
麻黄杏仁薏苡甘草汤,、薏苡仁（,12g）、
麻黄杏仁薏苡甘草汤,甘草（,3g）
活络效灵丹,当归,15克
活络效灵丹,丹参,15克
活络效灵丹,生明乳香,15克
活络效灵丹,生明没药,15克
防已茯苓汤,防己三钱(,9克)、黄芪三钱(9克)、桂枝三钱(9克)、茯苓六钱(18克)、甘草二钱(6克)
小续命汤,麻黄,9克)
小续命汤,防己,9克)
小续命汤,人参,9克)
小续命汤,黄芩,9克)
小续命汤,桂心,9克)
小续命汤,甘草,9克)
小续命汤,芍药,9克)
小续命汤,川芎,9克)
小续命汤,杏仁各一两(,9克)
小续命汤,附子一枚(,6克)
小续命汤,防风一两半(,9克)
小续命汤,生姜五两(,6克)
